Date,Movement,Open,High,Low,Close,Volume,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,trend_macd,trend_macd_signal,trend_macd_diff,momentum_rsi
963460800,1,1492.920044,1501.390015,1489.650024,1495.839966,1026800000,1500.239188,1432.980819,1466.610004,0,0,9.562048239,6.337045161,3.225003078,67.49604017
963547200,1,1495.839966,1509.98999,1494.560059,1509.97998,960600000,1506.717385,1429.627622,1468.172504,1,0,11.77860529,7.425357186,4.353248103,72.98346179
963806400,0,1509.97998,1517.319946,1505.26001,1510.48999,906000000,1513.340164,1427.607846,1470.474005,0,0,13.42167725,8.624621199,4.797056048,73.17195592
963892800,0,1510.48999,1510.48999,1491.349976,1493.73999,908300000,1514.450997,1427.271012,1470.861005,0,0,13.2198801,9.543672978,3.67620712,57.8711511
963979200,1,1493.73999,1495.630005,1479.920044,1481.959961,909400000,1514.981469,1427.341542,1471.161505,0,0,11.97142639,10.02922366,1.942202729,49.47574996
964065600,0,1481.959961,1501.920044,1481.959961,1495.569946,1064600000,1517.032388,1426.934616,1471.983502,0,0,11.94254046,10.41188702,1.530653437,57.66332465
964152000,0,1495.569946,1495.569946,1477.910034,1480.189941,968300000,1517.57402,1429.193973,1473.383997,0,0,10.55694013,10.44089764,0.116042487,47.60444442
964411200,1,1480.189941,1485.880005,1463.800049,1464.290039,880300000,1516.362333,1432.686666,1474.524499,0,0,8.082703288,9.969258771,-1.886555483,39.40495715
964497600,0,1464.290039,1476.22998,1464.290039,1474.469971,969400000,1516.333633,1434.631357,1475.482495,0,0,6.864149052,9.348236827,-2.484087775,46.24496612
964584000,0,1474.469971,1474.469971,1452.420044,1452.420044,1235800000,1516.194757,1434.957232,1475.575995,0,0,4.072275989,8.29304466,-4.220768671,36.06921547
964670400,0,1452.420044,1464.910034,1445.329956,1449.619995,1156400000,1516.55598,1434.076015,1475.315997,0,0,1.615141107,6.957463949,-5.342322842,34.94263046
964756800,1,1449.619995,1456.680054,1413.890015,1419.890015,980000000,1520.168345,1428.213649,1474.190997,0,1,-2.699961417,5.025978876,-7.725940293,25.27217733
965016000,1,1419.890015,1437.650024,1418.709961,1430.829956,952600000,1522.22642,1423.778573,1473.002496,0,0,-5.177279195,2.985327261,-8.162606457,33.1298154
965102400,1,1430.829956,1443.540039,1428.959961,1438.099976,938700000,1523.068908,1419.792078,1471.430493,0,0,-6.479258913,1.092410027,-7.57166894,38.11906352
965188800,1,1438.099976,1451.589966,1433.48999,1438.699951,994500000,1523.568422,1418.539562,1471.053992,0,0,-7.377629767,-0.601597932,-6.776031835,38.55560978
965275200,1,1438.699951,1454.189941,1425.430054,1452.560059,1095600000,1523.631401,1418.065583,1470.848492,0,0,-6.891766907,-1.859631727,-5.03213518,48.28095941
965361600,1,1452.560059,1462.930054,1451.310059,1462.930054,956000000,1522.803225,1417.296763,1470.049994,0,0,-5.605337774,-2.608772937,-2.996564837,54.4983729
965620800,1,1462.930054,1480.800049,1460.719971,1479.319946,854800000,1523.096307,1417.373676,1470.234991,0,0,-3.226128354,-2.73224402,-0.493884334,62.68010347
965707200,0,1479.319946,1484.52002,1472.609985,1482.800049,992200000,1523.28061,1417.381378,1470.330994,0,0,-1.047697624,-2.395334741,1.347637117,64.25481049
965793600,0,1482.800049,1490.329956,1471.160034,1472.869995,1054000000,1521.226113,1417.43087,1469.328491,0,0,-0.121145872,-1.940496967,1.819351095,56.41728551
965880000,1,1472.869995,1475.150024,1459.890015,1460.25,940800000,1518.040687,1417.057299,1467.548993,0,0,-0.400551082,-1.63250779,1.231956708,47.85723423
965966400,1,1460.25,1475.719971,1453.060059,1471.839966,835500000,1512.106453,1419.177532,1465.641992,0,0,0.309656438,-1.244074944,1.553731383,55.07958856
966225600,0,1471.839966,1491.640015,1468.560059,1491.560059,783800000,1507.975441,1421.41555,1464.695496,0,0,2.435661848,-0.508127586,2.943789434,64.68330774
966312000,0,1491.560059,1493.119995,1482.73999,1484.430054,895900000,1506.380148,1422.07985,1464.229999,0,0,3.504806294,0.29445919,3.210347104,59.38652206
966398400,1,1484.430054,1496.089966,1475.73999,1479.849976,929800000,1506.09799,1422.151009,1464.1245,0,0,3.937153608,1.022998074,2.914155534,55.98832468
966484800,0,1479.849976,1499.319946,1479.849976,1496.069946,922400000,1506.202371,1422.096628,1464.1495,0,0,5.524914274,1.923381314,3.60153296,64.32899776
966571200,1,1496.069946,1499.469971,1488.98999,1491.719971,821400000,1508.003069,1421.448933,1464.726001,0,0,6.358919103,2.810488872,3.548430231,60.76551236
966830400,0,1491.719971,1502.839966,1491.130005,1499.47998,731600000,1512.464966,1420.50603,1466.485498,0,0,7.558904964,3.76017209,3.798732874,64.78125146
966916800,1,1499.47998,1508.449951,1497.420044,1498.130005,818800000,1515.685301,1419.651699,1467.6685,0,0,8.305233437,4.669184359,3.636049077,63.47710601
967003200,1,1498.130005,1507.199951,1489.52002,1505.969971,871000000,1520.697958,1419.994035,1470.345996,0,0,9.420725434,5.619492574,3.80123286,67.81841314
967089600,0,1505.969971,1511.160034,1501.25,1508.310059,837100000,1525.357865,1421.203134,1473.280499,0,0,10.37400073,6.570394206,3.803606526,69.08403524
