Date,Open,High,Low,Close,Adj Close,Volume
8/27/2010,8811.469727,9021.75,8810.459961,8991.05957,8991.05957,127800
8/30/2010,9141.450195,9280.700195,9117.870117,9149.259766,9149.259766,114400
8/31/2010,8998.799805,9008.360352,8819.259766,8824.05957,8824.05957,121800
9/1/2010,8833.320313,8932.150391,8796.450195,8927.019531,8927.019531,120100
9/2/2010,9069.620117,9083.370117,8958.80957,9062.839844,9062.839844,119300
9/3/2010,9097.589844,9141.089844,9050.830078,9114.129883,9114.129883,102000
9/6/2010,9199.990234,9303,9173.379883,9301.320313,9301.320313,106700
9/7/2010,9232.019531,9311.019531,9206.80957,9226,9226,118000
9/8/2010,9098.860352,9105.889648,8997.629883,9024.599609,9024.599609,107000
9/9/2010,9120.540039,9136.259766,9069.929688,9098.389648,9098.389648,92800
9/10/2010,9132.25,9291.5,9132.25,9239.169922,9239.169922,169800
9/13/2010,9325.639648,9390.900391,9317.299805,9321.820313,9321.820313,108700
9/14/2010,9319.5,9330.049805,9258.179688,9299.30957,9299.30957,117500
9/16/2010,9613.889648,9620.900391,9479.629883,9509.5,9509.5,142200
9/17/2010,9581.650391,9643.280273,9554.360352,9626.089844,9626.089844,122900
9/21/2010,9700.879883,9704.25,9579.830078,9602.110352,9602.110352,109500
9/22/2010,9563.200195,9625.410156,9546.820313,9566.320313,9566.320313,108900
9/24/2010,9435.040039,9601.769531,9415.959961,9471.669922,9471.669922,146600
9/27/2010,9557.370117,9613.469727,9539.120117,9603.139648,9603.139648,122500
9/28/2010,9547.030273,9553.910156,9471.349609,9495.759766,9495.759766,97500
9/29/2010,9530.049805,9600.929688,9502.339844,9559.379883,9559.379883,134700
9/30/2010,9554.830078,9566.839844,9369.349609,9369.349609,9369.349609,145800
10/1/2010,9440.519531,9470.360352,9358.620117,9404.230469,9404.230469,163200
10/4/2010,9410.919922,9508.360352,9358.820313,9381.05957,9381.05957,161200
10/5/2010,9337.429688,9538.349609,9332.19043,9518.759766,9518.759766,193800
10/6/2010,9588.469727,9693.740234,9567,9691.429688,9691.429688,234300
10/7/2010,9661.089844,9716.919922,9649.169922,9684.80957,9684.80957,171200
10/8/2010,9675.589844,9675.589844,9588.879883,9588.879883,9588.879883,147900
10/12/2010,9648.589844,9650.200195,9387.730469,9388.639648,9388.639648,140700
10/13/2010,9473.780273,9510.19043,9393.519531,9403.509766,9403.509766,144000
